Gene,baseMean,log2FoldChange,lfcSE,pvalue,padj
ABT1,546.3717179,-0.218142997,0.080033971,0.003331996,0.020416726
ZNF322,888.9946601,0.227584169,0.059930938,7.87E-05,0.000922658
TRNAM-CAU_4,0.246669673,-0.001987685,0.214982203,0.646178922,NA
TRNAM-CAU_5,0.223167966,0.001065398,0.21476907,0.993985654,NA
LOC119039176,12.44958054,0.011126937,0.194707075,0.906263094,0.9547724
TRNAS-GCU_3,0.351658673,-0.005986833,0.21448429,0.758734507,NA
LOC119039171,84.14233747,-0.003120383,0.164513223,0.98323373,0.991737524
LOC119039173,7.575377575,0.06783308,0.219205086,0.292636999,0.517225739
LOC119039172,14.31364391,0.139398276,0.25145048,0.136508658,0.317983822
LOC119039170,60.47506855,0.06885532,0.169994475,0.529009546,0.722649368
TRNAT-AGU_4,1.498218669,-0.005162295,0.213010713,0.849131763,NA
PRSS16,119.2199696,-0.12163002,0.147688245,0.27430058,0.496354368
POM121L2,1.116086332,-0.003785955,0.21485582,0.984960185,NA
ZNF391,289.5420491,-0.045697017,0.110205063,0.645113963,0.806453851
ZNF184,1240.19395,0.217968488,0.078404644,0.00223764,0.014787342
TRNAS-AGA_1,0.415987969,-0.00831261,0.214982239,0.762540464,NA
LOC128625983,6.696661209,-0.063396621,0.215165703,0.359510516,0.581725876
LOC119039163,0.433734443,0.007623958,0.214547605,0.77309971,NA
LOC119039161,0.441807938,0.007961455,0.214866866,0.77221917,NA
LOC119039157,1.458593804,0.004087627,0.213263043,0.877888192,NA
H1-5,2.725958545,0.007672225,0.211338525,0.836115425,NA
LOC119039162,1.808573294,-0.016075797,0.211863973,0.672502096,NA
LOC119039156,9.340792891,-0.100843182,0.232152767,0.190572779,0.394682605
LOC119039178,1.404424528,0.011292259,0.213449693,0.678756919,NA
LOC119039159,4.307218947,-0.029567749,0.209331012,0.603282114,NA
LOC119039160,3.903616539,0.008040385,0.208796194,0.867191297,NA
LOC119039166,1.207699941,0.043559018,0.219238734,0.148670456,NA
TRNAM-CAU_7,0.213507033,0.005901008,0.214965741,0.814429398,NA
TRNAG-GCC_6,0.280970214,-0.00432292,0.214977419,0.749168313,NA
LOC119039136,979.52158,-0.205718194,0.159849916,0.08505229,0.229755836
ZKSCAN8,1926.839339,-0.034342905,0.071418951,0.610654731,0.785072334
LOC128625985,25.1494594,-0.119067738,0.206822305,0.275568323,0.497814386
LOC119039150,37.2005702,0.06360621,0.169825824,0.561479071,0.74801103
NKAPL,28.93194673,-0.10250385,0.212449458,0.300796588,0.525507594
ZSCAN26,451.0299919,-0.29478717,0.089813161,0.000292119,0.002778254
LOC128625986,27.21458649,-0.687144801,0.323207791,0.002029139,0.01359896
LOC119039174,329.5517353,-0.364709485,0.110554171,0.000191129,0.001960624
LOC128625998,22.78699023,-0.173352435,0.266644206,0.111330078,0.275479018
LOC128625967,67.48318398,0.050479104,0.145535553,0.656975406,0.813741279
PTGS1,472.0937579,-0.066380404,0.10791315,0.497528331,0.699683052
MRRF,236.6592503,0.104618563,0.09231108,0.203014252,0.411081258
RBM18,939.9337675,0.305709395,0.087319482,0.000140846,0.001510137
LHX6,129.5014977,0.028082479,0.121203395,0.762483852,0.877791103
MORN5,52.90444596,-0.024625893,0.171247211,0.818026367,0.910354255
NDUFA8,1508.150695,0.0539717,0.065426592,0.38979948,0.608670736
TTLL11,83.75857442,0.427939413,0.273263353,0.012917414,0.057777106
DAB2IP,300.6153666,0.236780745,0.134820775,0.032032611,0.113996996
GGTA1,1093.946628,-0.249834933,0.150282438,0.025751729,0.097579693
STOM,164.9428258,-0.206837201,0.130131271,0.053399048,0.164628745
GSN,172.069438,-0.380919988,0.159092301,0.003252798,0.020034981
RAB14,4179.227214,0.082820331,0.046810951,0.069575062,0.198721535
CNTRL,996.4233406,-0.136104523,0.080630651,0.062008274,0.183078173
C5,435.376075,0.372925452,0.132578574,0.001055814,0.007998999
TRAF1,358.5966507,0.769900361,0.166010299,2.93E-07,6.62E-06
PHF19,707.3773763,-0.148839567,0.098555181,0.085096712,0.229779526
LOC119035931,737.5012156,0.007055795,0.089150326,0.942667389,0.971088805
PSMD5,2069.255343,0.087543223,0.073760013,0.205699408,0.414083575
B3GALT9,2.528407128,-0.01048892,0.211077961,0.801927795,NA
FBXW2,3173.740084,-0.04692218,0.052145617,0.353149889,0.576490365
MEGF9,914.3399536,-0.313657817,0.082133969,3.38E-05,0.000446956
CDK5RAP2,2212.136044,-0.14145343,0.05583948,0.008478852,0.042063145
LOC128626009,1.970882526,0.061276282,0.225294227,0.058328066,NA
BRINP1,76.74038296,-0.058504053,0.189069677,0.572263742,0.755934316
LOC119056320,0.664526024,0.00135694,0.214393013,0.99144966,NA
TLR4,194.7584484,-0.381274058,0.192368076,0.008036793,0.040376939
ASTN2,4.106091423,-0.047068653,0.218225549,0.252792698,NA
LOC119056326,4.167905593,0.049096247,0.212969695,0.419022272,NA
TRIM32,298.8272219,0.027649506,0.100279618,0.740807346,0.865641281
PAPPA,820.4151468,0.476618395,0.108995952,2.00E-06,3.75E-05
TNC,222.2651545,0.00492738,0.169171174,0.962257869,0.981877636
TNFSF15,24.45979954,0.147240547,0.280394804,0.039202931,0.132112579
TMEM268,349.3531597,1.299350048,0.131241533,2.72E-24,3.79E-22
ATP6V1G1,2741.295436,0.109699151,0.057159615,0.049364807,0.155527564
WHRN,202.483705,0.395382382,0.146105428,0.001275791,0.009309865
AKNA,177.1699321,2.806872682,0.225777937,9.39E-37,2.73E-34
ORM1,0.403128579,-0.000922623,0.214935609,0.994679975,NA
COL27A1,1206.41839,-0.223413807,0.189671262,0.07304692,0.205845033
KIF12,1504.593025,-0.291258293,0.174523955,0.025814665,0.09765782
AMBP,2.659689246,0.005417181,0.21073582,0.888328584,NA
ZNF618,468.2910972,-0.252014206,0.146036683,0.030129588,0.108996637
RGS3,2002.959593,-0.11295563,0.057872504,0.033967662,0.118657474
CUNH9orf43,43.44803642,0.595331621,0.29441928,0.00333484,0.020425359
POLE3,1249.270323,-0.046926551,0.059981527,0.483760638,0.688734458
ALAD,376.1844439,0.1869511,0.116216462,0.059421729,0.177840209
LOC128626032,4.542956812,0.074749965,0.22832566,0.128599459,NA
HDHD3,86.3216315,-0.108718104,0.150790277,0.332075829,0.556183036
BSPRY,53.93877404,0.021332652,0.17289977,0.875825048,0.941323371
WDR31,438.302736,-0.106350925,0.094708475,0.212050047,0.42235989
RNF183,290.0365103,0.141016399,0.133852411,0.188540413,0.392300818
PRPF4,822.0770025,-0.228176058,0.075269752,0.001556967,0.010988357
CDC26,272.6278797,0.100066609,0.110373839,0.280926281,0.504263068
SLC31A1,2375.534894,-0.032623357,0.049875038,0.500654644,0.702159076
FKBP15,834.7327721,-0.001344535,0.063259915,0.95505053,0.978270937
SLC31A2,72.40776287,0.005064191,0.142391387,0.96706625,0.984261397
ZFP37,174.0424682,-0.065619678,0.110363115,0.46200001,0.672532856
LOC119054741,132.8835582,-0.040318505,0.185443089,0.712447957,0.849407702
LOC119054797,8.041949999,0.041417596,0.210187118,0.516833703,0.713448135
SLC46A2,0.196519283,0.006243162,0.214981379,0.834550913,NA
SNX30,356.9998034,-0.258806595,0.123378614,0.013789214,0.060385638
KIAA1958,754.524746,-0.346040087,0.138835062,0.002216777,0.014676733
INIP,545.2451684,0.144803423,0.080019095,0.05179828,0.16101943
HSDL2,849.7192122,-0.037523894,0.082492999,0.600367627,0.777821034
PTBP3,6918.155142,-0.260868254,0.085170879,0.000843429,0.006647772
LOC119054768,0.557792075,0.00855527,0.214702871,0.64754521,NA
SUSD1,2211.623868,-0.492613714,0.077597434,5.75E-11,2.58E-09
LOC119054688,63.29066161,-0.134305787,0.181126743,0.2552956,0.474986872
UGCG,6002.870021,-0.319030324,0.118338022,0.001730137,0.011955507
LOC119054802,4.529898706,0.015922769,0.210487671,0.730811968,NA
SHOC1,3.050892659,-0.011771971,0.210207832,0.788596267,NA
GNG10,1884.104648,-0.155949966,0.106046612,0.091187393,0.240931149
LOC128626035,27.91923992,0.098953354,0.194456856,0.36145375,0.583410545
DNAJC25,1274.779563,0.024290199,0.10965399,0.797744256,0.897399216
PTGR1,272.5178841,-0.031679262,0.110643719,0.698587749,0.842086086
ZNF483,88.25532448,-0.561880205,0.24981456,0.002131569,0.014178573
LOC128626011,0.278035648,0.005042386,0.214898624,0.872811786,NA
ECPAS,3847.690301,0.101446919,0.070526019,0.127029462,0.302692209
LOC119054726,0.397829334,-0.002352482,0.214896343,0.991590555,NA
LPAR1,1224.998096,0.142191158,0.108692619,0.130614096,0.308546798
SVEP1,25.54312153,0.834329592,0.451082082,0.002839008,0.017920802
TXN,3405.8181,-0.092557201,0.100892169,0.297761818,0.522837856
CUNH9orf152,0.782275754,-0.001105452,0.214109247,0.987632582,NA
PALM2AKAP2,10302.3025,-0.096610866,0.087853678,0.215118315,0.426222446
PTPN3,635.5414908,0.192835582,0.086572702,0.014872326,0.064092467
EPB41L4B,227.4650282,-0.158962844,0.14776525,0.169269368,0.365568393
FRRS1L,193.4754129,-0.039600178,0.1426061,0.710567778,0.847958015
TMEM245,2513.433408,-0.089765177,0.094652703,0.271859637,0.49336976
CTNNAL1,2288.079347,0.173209194,0.074968101,0.013534437,0.059664942
ABITRAM,505.9236878,0.252512996,0.079199316,0.000431482,0.003853651
ELP1,1247.358583,-2.56E-05,0.064668722,0.98476785,0.992651574
ACTL7A,11.55874837,0.027090271,0.199037195,0.731674288,0.861267136
KLF4,750.7745052,3.930069297,0.255419744,1.06E-54,5.41E-52
RAD23B,3172.83171,0.136121297,0.053646826,0.007106715,0.036675497
ZNF462,4444.704171,-0.139818861,0.103161298,0.122291762,0.294523557
LOC128626055,0.954834036,-0.013776752,0.214174391,0.562641194,NA
TMEM38B,890.3955745,0.118991672,0.092590518,0.150494145,0.338106853
LOC119054721,1.025924302,-0.004353579,0.213636278,0.846976179,NA
FKTN,1221.551689,-0.000677898,0.084896322,0.957585623,0.979406818
FSD1L,168.390866,0.42165204,0.259188122,0.012660761,0.057132034
SLC44A1,1796.691155,-0.161030225,0.072880811,0.018338791,0.075433453
LOC128626003,0.892292921,0.039554005,0.21919202,0.109342078,NA
ABCA1,1935.971445,-0.085241767,0.17688686,0.439959401,0.653213228
NIPSNAP3A,1096.939169,0.003632831,0.115609091,0.971151682,0.986026913
LOC119034854,0.214115152,-0.003605107,0.214953259,0.853923154,NA
LOC119034855,0.678632233,0.022823161,0.215629786,0.313575232,NA
LOC119034857,0.513257299,0.010265172,0.214933896,0.734282947,NA
LOC119034853,0.535603908,-0.009404929,0.214456634,0.661548738,NA
LOC119034858,0.301262605,-0.001206286,0.214929247,0.994575107,NA
LOC119034861,0.152599619,-0.001419573,0.2149709,0.847159365,NA
